System;Country;City;Population1;Type;Dock Stations;Virtual Stations;Docks;Bikes;Operator;Reponsible Entity;Tecnology / Equipament;Old Tecnology / Equipament;Sponsor;Transit Integration;Opening Hours;Fees;Payment Options;Over Time Aditional Fee;Launched;Shut down;Relaunch;Description Re-launch;Open Data;API/Data;Website;Last update LatinoSBP;Source
BAEcobici;Argentina;Buenos Aires;2890151;Dock Based;400;NA;7790;4000;Tembici;Gobierno de la Ciudad de Buenos Aires;PBSC;Serttel;Itaú;Yes;24h;Free;Credit Card;No;December-2010;NA;01/06/2019;New bikes, new stations and new Technology;https://data.buenosaires.gob.ar/dataset/bicicletas-publicas;JSON/GBFS-PBSCShift;http://www.buenosaires.gob.ar/ecobici/sistemaecobici;07/11/2019;https://www.bicivilizados.org/ecobici-un-sistema-de-bicicletas-publicas-en-buenos-aires-con-ya-6-anos-de-historia/
Bicis RGL;Argentina;Río Gallegos;95796;Dock Based;4;NA;32;16;Municipalidad de Río Gallegos;Municipalidad de Río Gallegos;Smod;NA;Public;Yes;;Free;NA;No;December-2019;NA;NA;NA;;;https://www.riogallegos.gov.ar/rgl/bicis-rgl/;10/12/2019;https://www.eldiarionuevodia.com.ar/local/info-general/2019/12/4/el-viernes-se-activara-oficialmente-bicis-rgl-junto-propuestas-preventivas-98665.html https://www.municipalidad-argentina.com.ar/municipalidad-rio-gallegos.html
Biciudad;Argentina;San Lorenzo;157255;Dock Based;8;NA;64;40;Municipalidad de la Ciudad de San Lorenzo;Municipalidad de San Lorenzo;Sinergia;NA;Public;Yes;7:00h-21:00h;Free;NA;No;November-2016;NA;October-2018;Expansion & New Technology - Old: 6 stations with 10-12 bikes each;;;http://sanlorenzo.gob.ar/biciudad/;06/12/2019;http://pregon.me/vuelve-biciudad-con-cambios-sustanciales-en-el-sistema/
En La Bici;Argentina;Mendoza y Godoy Cruz;1738929;Dock Based;18;NA;;350;Municipalidad de la Ciudad de Mendoza;Municipalidad de la Ciudad de Mendoza;MYT - https://mytsoluciones.com/;NA;Public;with Tarjeta RedBus;Workdays: 8:00h-20:00h/Saturday: 9:00h-15:00h;Free;NA;No;August-2019;NA;NA;NA;;;https://www.ciudaddemendoza.gov.ar/en-la-bici/;06/12/2019;http://www.cadena3.com/contenido/2016/08/23/Mendoza-estreno-las-primeras-estaciones-de-bicis-publicas-168282.asp
Las Bicis;Argentina;Belen de Escobar, Maschwitz y Garin;213619;Dock Based;34;NA;400;200;Smod y Municipio;Agencia Municipal de Tránsito, Transporte y Seguridad Vial - Municipalidad de Escobar;Smod, eCloud Solutions and Chispa*;NA;Public;No;24h;Hour, Daily, Monthly, Semester or Annual;Cash or Credit Card;Yes;July- 2019;NA;NA;NA;;;https://bicicletas.escobar.gob.ar/;06/12/2019;https://bicicletas.escobar.gob.ar/
Mi Bici Tu Bici;Argentina;Rosario;1193605;Dock Based;52;NA;;462;Ente de la Movilidade Rosario - EMR;Ente de la Movilidad;Smod;Serttel;Public;with Tarjeta Movi;24h;Daily, Monthly or Annual;Movi or Credit Card;Yes;March-2015;NA;July-2017;New bikes, new stations and new Technology;https://datos.rosario.gob.ar/dataset/estad%C3%ADsticas-del-sistema-de-bicicletas-p%C3%BAblicas;;http://www.mibicitubici.gob.ar/;06/12/2019;https://latinamerica.uitp.org/node/3976
SiBici;Argentina;Neuquen;551266;Dock Based;3;NA;;60;Municipalidad de la Ciudad de Neuquen;Municipalidad de la Ciudad de Neuquen;MYT - https://mytsoluciones.com/;NA;Public;Yes;24h;Temporaly Free;NA;No;February-2019;NA;NA;NA;;;http://www.ciudaddeneuquen.gob.ar/sibici/;06/12/2019;https://www.eldigitalneuquen.com.ar/2019/05/28/sibici-supero-los-mil-usuarios-en-la-ciudad/
Bbike;Brasil;Brusque;105503;Dock Based;5;NA;;41;Prefeitura de Brusque;Prefeitura de Brusque;Bike Facil/Lev;NA;Public;Yes;6:00-23:00h;Temporaly Free;NA;Yes;October-2019;NA;NA;NA;;;http://www.bbikebrusque.com.br/;10/12/2019;https://www.tvbrusque.com.br/inaugurada-a-primeira-estacao-de-bicicletas-compartilhadas-de-brusque/
Bicicleta Integrada;Brasil;Fortaleza;2669342;Dock Based;6;NA;;300;Serttel;Secretaria Municipal de Conservação e Serviços Públicos;Serttel;NA;Grupo Marquise;with Bilhete Único;05:00h - 23:59h;Free;Bilhete Unico;Yes, Hours Penality;June-2016;NA;NA;NA;;;http://www.bicicletaintegrada.com/home.aspx;16/12/2019;"https://catalogodeservicos.fortaleza.ce.gov.br/categoria/mobilidade/servico/129; https://www.fortaleza.ce.gov.br/noticias/prefeito-roberto-claudio-inaugura-estacao-do-bicicleta-integrada-no-terminal-lagoa"
Bicicletar;Brasil;Fortaleza;2669342;Dock Based;80;NA;1061;800;Serttel;Secretaria Municipal de Conservação e Serviços Públicos;Serttel;NA;Unimed Fortaleza;with Bilhete Único;05:00h-23:59h;Daily, Monthly Annual or Free with Bilhete Único;Credit Card;Yes;December- 2014;NA;NA;NA;;HTML/Mobilicidade;http://www.bicicletar.com.br/;10/12/2019;https://catalogodeservicos.fortaleza.ce.gov.br/categoria/mobilidade/servico/127
Bicicletar Cooporativo;Brasil;Fortaleza;2669342;Dock Based;16;NA;;59;Serttel;Secretaria Municipal de Conservação e Serviços Públicos;Serttel;NA;Projeto Cidades Saudáveis;with Bilhete Único;05:00h-23:59h;Free for municipalty employers;Credit Card;Yes, Hours Penality;March-2018;NA;NA;NA;;;http://www.bicicletarcorporativo.com.br/;16/12/2019;https://www.fortaleza.ce.gov.br/noticias/prefeitura-de-fortaleza-amplia-bicicletar-corporativo-com-mais-10-novas-estacoes-em-predios-publicos-municipais
Bike Belém;Brasil;Belém;1492745;Dock Based;15;NA;110;110;Tembici;Prefeitura de Belém;Serttel;NA;HapVida;No;06:00h-23:00h;Daily, Annual;Credit Card;Yes;April-2016;NA;01/05/2019;New stations;;;https://bikebelem.tembici.com.br/;21/01/2020;https://g1.globo.com/pa/para/noticia/2019/05/12/bicicletas-compartilhadas-de-belem-ganham-novas-estacoes.ghtml
Bike BH;Brasil;Belo Horizonte;2375151;Dock Based;14;NA;;100;Serttel;Prefeitura de Belo Horizonte;Serttel;NA;Unimed Belo Horizonte;No;06:00h-23:00h;Payment per hour or monthly;Credit Card;Yes;August-2014;April- 2019;Agust- 2019;Old: 400 bikes in 40 stations to 100 bikes in 14 stations;;;http://www.movesamba.com.br/bikebh;16/12/2019;"https://prefeitura.pbh.gov.br/bhtrans/informacoes/transportes/bicicletas/bicicletas-compartilhadas; https://diariodocomercio.com.br/dc-mais/unimed-bh-inaugura-estacoes-de-bicicletas-compartilhadas-na-orla-da-lagoa-da-pampulha/; https://noticias.r7.com/minas-gerais/bh-inaugura-14-estacoes-de-emprestimo-de-bikes-no-centro-e-na-pampulha-31082014"
